Signal,RMS_Clean,RMS_LowNoise,RMS_HighNoise,P2P_Clean,P2P_HighNoise,Degradation_Pct
Sine1Hz,0.706753139363385,0.709540912653733,0.858476792809718,1.99999752765719,4.84575058256779,21.4677013791548
Sine5Hz,0.706753139363385,0.712896458237131,0.864260837282622,1.99999752765719,4.84125693207405,22.2860980937579
Sine10Hz,0.706753139363385,0.712570597327028,0.8730787969105,1.99999752765719,4.43535633794498,23.5337698955161
Square1Hz,0.999499874937461,1.00724006246043,1.11061816601395,2,4.94026280617841,11.1173891926143
Square5Hz,0.999499874937461,1.002198232601,1.10591486872579,2,4.28848320327312,10.6468241224126
Square10Hz,0.999499874937461,1.00344016413381,1.11385092075961,2,4.56826015445903,11.440826426247
Tri1Hz,0.577927908422842,0.590860952682821,0.747359892934775,1.997997997998,4.07093857580582,29.317148738207
Tri5Hz,0.577927908422842,0.587557228512368,0.755484912798803,1.997997997998,4.40525192866789,30.7230368681298
Tri10Hz,0.577927908422841,0.585275290939484,0.793573325908946,1.997997997998,4.51961895398293,37.3135497253626
